antecedents,consequents,support,confidence
frozenset({'Medical Condition=Asthma'}),frozenset({'Medication=Aspirin'}),0.06,0.179
frozenset({'Medication=Aspirin'}),frozenset({'Medical Condition=Asthma'}),0.06,0.387
frozenset({'Medical Condition=Asthma'}),frozenset({'Medication=Ibuprofen'}),0.11,0.328
frozenset({'Medication=Ibuprofen'}),frozenset({'Medical Condition=Asthma'}),0.11,0.367
frozenset({'Medical Condition=Asthma'}),frozenset({'Medication=Lipitor'}),0.055,0.164
frozenset({'Medication=Lipitor'}),frozenset({'Medical Condition=Asthma'}),0.055,0.344
frozenset({'Medical Condition=Asthma'}),frozenset({'Medication=Paracetamol'}),0.05,0.149
frozenset({'Medication=Paracetamol'}),frozenset({'Medical Condition=Asthma'}),0.05,0.25
frozenset({'Medical Condition=Asthma'}),frozenset({'Medication=Penicillin'}),0.06,0.179
frozenset({'Medication=Penicillin'}),frozenset({'Medical Condition=Asthma'}),0.06,0.324
frozenset({'Medical Condition=Asthma'}),frozenset({'Test Results=Abnormal'}),0.085,0.254
frozenset({'Test Results=Abnormal'}),frozenset({'Medical Condition=Asthma'}),0.085,0.233
frozenset({'Medical Condition=Asthma'}),frozenset({'Test Results=Inconclusive'}),0.135,0.403
frozenset({'Test Results=Inconclusive'}),frozenset({'Medical Condition=Asthma'}),0.135,0.466
frozenset({'Medical Condition=Asthma'}),frozenset({'Test Results=Normal'}),0.115,0.343
frozenset({'Test Results=Normal'}),frozenset({'Medical Condition=Asthma'}),0.115,0.333
frozenset({'Medical Condition=Cancer'}),frozenset({'Medication=Ibuprofen'}),0.09,0.273
frozenset({'Medication=Ibuprofen'}),frozenset({'Medical Condition=Cancer'}),0.09,0.3
frozenset({'Medical Condition=Cancer'}),frozenset({'Medication=Lipitor'}),0.055,0.167
frozenset({'Medication=Lipitor'}),frozenset({'Medical Condition=Cancer'}),0.055,0.344
frozenset({'Medical Condition=Cancer'}),frozenset({'Medication=Paracetamol'}),0.095,0.288
frozenset({'Medication=Paracetamol'}),frozenset({'Medical Condition=Cancer'}),0.095,0.475
frozenset({'Medical Condition=Cancer'}),frozenset({'Medication=Penicillin'}),0.055,0.167
frozenset({'Medication=Penicillin'}),frozenset({'Medical Condition=Cancer'}),0.055,0.297
frozenset({'Medical Condition=Cancer'}),frozenset({'Test Results=Abnormal'}),0.14,0.424
frozenset({'Test Results=Abnormal'}),frozenset({'Medical Condition=Cancer'}),0.14,0.384
